"Region","Year","Gender","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 3: Eastern","SFY 2006-2007","Male","In State","Independent Living","Number","Children in Placement",9
"Region 3: Eastern","SFY 2006-2007","Male","In State","Total","Number","Children in Placement",527
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Foster Care","Number","Children in Placement",11
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Relative Foster Care","Number","Children in Placement",5
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",5
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Group Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Residential Treatment Center","Number","Children in Placement",36
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Independent Living","Number","Children in Placement",1
"Region 3: Eastern","SFY 2006-2007","Male","Out of State","Total","Number","Children in Placement",59
"Region 3: Eastern","SFY 2006-2007","Total","In State","Foster Care","Number","Children in Placement",443
"Region 3: Eastern","SFY 2006-2007","Total","In State","Relative Foster Care","Number","Children in Placement",172
"Region 3: Eastern","SFY 2006-2007","Total","In State","Special Study","Number","Children in Placement",70
"Region 3: Eastern","SFY 2006-2007","Total","In State","Therapeutic Foster Care","Number","Children in Placement",115
"Region 3: Eastern","SFY 2006-2007","Total","In State","PDC or Safe Home","Number","Children in Placement",29
"Region 3: Eastern","SFY 2006-2007","Total","In State","Shelter","Number","Children in Placement",13
"Region 3: Eastern","SFY 2006-2007","Total","In State","Group Home","Number","Children in Placement",52
"Region 3: Eastern","SFY 2006-2007","Total","In State","Residential Treatment Center","Number","Children in Placement",82
"Region 3: Eastern","SFY 2006-2007","Total","In State","High Meadows","Number","Children in Placement",5
"Region 3: Eastern","SFY 2006-2007","Total","In State","Solnit Center","Number","Children in Placement",9
"Region 3: Eastern","SFY 2006-2007","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",3
"Region 3: Eastern","SFY 2006-2007","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2006-2007","Total","In State","Independent Living","Number","Children in Placement",16
"Region 3: Eastern","SFY 2006-2007","Total","In State","Total","Number","Children in Placement",1010
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Foster Care","Number","Children in Placement",23
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Relative Foster Care","Number","Children in Placement",14
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",7
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Group Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Residential Treatment Center","Number","Children in Placement",47
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Independent Living","Number","Children in Placement",1
"Region 3: Eastern","SFY 2006-2007","Total","Out of State","Total","Number","Children in Placement",93
"Region 3: Eastern","SFY 2007-2008","Female","In State","Foster Care","Number","Children in Placement",190
"Region 3: Eastern","SFY 2007-2008","Female","In State","Relative Foster Care","Number","Children in Placement",59
"Region 3: Eastern","SFY 2007-2008","Female","In State","Special Study","Number","Children in Placement",34
"Region 3: Eastern","SFY 2007-2008","Female","In State","Therapeutic Foster Care","Number","Children in Placement",55
"Region 3: Eastern","SFY 2007-2008","Female","In State","PDC or Safe Home","Number","Children in Placement",9
"Region 3: Eastern","SFY 2007-2008","Female","In State","Shelter","Number","Children in Placement",6
"Region 3: Eastern","SFY 2007-2008","Female","In State","Group Home","Number","Children in Placement",27
"Region 3: Eastern","SFY 2007-2008","Female","In State","Residential Treatment Center","Number","Children in Placement",31
"Region 3: Eastern","SFY 2007-2008","Female","In State","High Meadows","Number","Children in Placement",1
"Region 3: Eastern","SFY 2007-2008","Female","In State","Solnit Center","Number","Children in Placement",3
"Region 3: Eastern","SFY 2007-2008","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Female","In State","Independent Living","Number","Children in Placement",6
"Region 3: Eastern","SFY 2007-2008","Female","In State","Total","Number","Children in Placement",423
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Foster Care","Number","Children in Placement",10
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Relative Foster Care","Number","Children in Placement",7
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Residential Treatment Center","Number","Children in Placement",11
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Female","Out of State","Total","Number","Children in Placement",28
"Region 3: Eastern","SFY 2007-2008","Male","In State","Foster Care","Number","Children in Placement",185
"Region 3: Eastern","SFY 2007-2008","Male","In State","Relative Foster Care","Number","Children in Placement",68
"Region 3: Eastern","SFY 2007-2008","Male","In State","Special Study","Number","Children in Placement",18
"Region 3: Eastern","SFY 2007-2008","Male","In State","Therapeutic Foster Care","Number","Children in Placement",69
"Region 3: Eastern","SFY 2007-2008","Male","In State","PDC or Safe Home","Number","Children in Placement",18
"Region 3: Eastern","SFY 2007-2008","Male","In State","Shelter","Number","Children in Placement",7
"Region 3: Eastern","SFY 2007-2008","Male","In State","Group Home","Number","Children in Placement",34
"Region 3: Eastern","SFY 2007-2008","Male","In State","Residential Treatment Center","Number","Children in Placement",40
"Region 3: Eastern","SFY 2007-2008","Male","In State","High Meadows","Number","Children in Placement",1
"Region 3: Eastern","SFY 2007-2008","Male","In State","Solnit Center","Number","Children in Placement",4
"Region 3: Eastern","SFY 2007-2008","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","In State","Independent Living","Number","Children in Placement",8
"Region 3: Eastern","SFY 2007-2008","Male","In State","Total","Number","Children in Placement",454
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Foster Care","Number","Children in Placement",16
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Relative Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Special Study","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Residential Treatment Center","Number","Children in Placement",45
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Male","Out of State","Total","Number","Children in Placement",68
"Region 3: Eastern","SFY 2007-2008","Total","In State","Foster Care","Number","Children in Placement",375
"Region 3: Eastern","SFY 2007-2008","Total","In State","Relative Foster Care","Number","Children in Placement",127
"Region 3: Eastern","SFY 2007-2008","Total","In State","Special Study","Number","Children in Placement",52
"Region 3: Eastern","SFY 2007-2008","Total","In State","Therapeutic Foster Care","Number","Children in Placement",124
"Region 3: Eastern","SFY 2007-2008","Total","In State","PDC or Safe Home","Number","Children in Placement",27
"Region 3: Eastern","SFY 2007-2008","Total","In State","Shelter","Number","Children in Placement",13
"Region 3: Eastern","SFY 2007-2008","Total","In State","Group Home","Number","Children in Placement",61
"Region 3: Eastern","SFY 2007-2008","Total","In State","Residential Treatment Center","Number","Children in Placement",71
"Region 3: Eastern","SFY 2007-2008","Total","In State","High Meadows","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Total","In State","Solnit Center","Number","Children in Placement",7
"Region 3: Eastern","SFY 2007-2008","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Total","In State","Independent Living","Number","Children in Placement",14
"Region 3: Eastern","SFY 2007-2008","Total","In State","Total","Number","Children in Placement",877
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Foster Care","Number","Children in Placement",26
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Relative Foster Care","Number","Children in Placement",10
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Special Study","Number","Children in Placement",2
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Residential Treatment Center","Number","Children in Placement",56
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2007-2008","Total","Out of State","Total","Number","Children in Placement",96
"Region 3: Eastern","SFY 2008-2009","Female","In State","Foster Care","Number","Children in Placement",161
"Region 3: Eastern","SFY 2008-2009","Female","In State","Relative Foster Care","Number","Children in Placement",60
"Region 3: Eastern","SFY 2008-2009","Female","In State","Special Study","Number","Children in Placement",35
"Region 3: Eastern","SFY 2008-2009","Female","In State","Therapeutic Foster Care","Number","Children in Placement",31
"Region 3: Eastern","SFY 2008-2009","Female","In State","PDC or Safe Home","Number","Children in Placement",8
"Region 3: Eastern","SFY 2008-2009","Female","In State","Shelter","Number","Children in Placement",7
"Region 3: Eastern","SFY 2008-2009","Female","In State","Group Home","Number","Children in Placement",26
"Region 3: Eastern","SFY 2008-2009","Female","In State","Residential Treatment Center","Number","Children in Placement",23
"Region 3: Eastern","SFY 2008-2009","Female","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","In State","Solnit Center","Number","Children in Placement",3
"Region 3: Eastern","SFY 2008-2009","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 3: Eastern","SFY 2008-2009","Female","In State","Independent Living","Number","Children in Placement",13
"Region 3: Eastern","SFY 2008-2009","Female","In State","Total","Number","Children in Placement",371
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Foster Care","Number","Children in Placement",4
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Group Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Residential Treatment Center","Number","Children in Placement",17
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Female","Out of State","Total","Number","Children in Placement",30
"Region 3: Eastern","SFY 2008-2009","Male","In State","Foster Care","Number","Children in Placement",179
"Region 3: Eastern","SFY 2008-2009","Male","In State","Relative Foster Care","Number","Children in Placement",70
"Region 3: Eastern","SFY 2008-2009","Male","In State","Special Study","Number","Children in Placement",27
"Region 3: Eastern","SFY 2008-2009","Male","In State","Therapeutic Foster Care","Number","Children in Placement",59
"Region 3: Eastern","SFY 2008-2009","Male","In State","PDC or Safe Home","Number","Children in Placement",23
"Region 3: Eastern","SFY 2008-2009","Male","In State","Shelter","Number","Children in Placement",9
"Region 3: Eastern","SFY 2008-2009","Male","In State","Group Home","Number","Children in Placement",39
"Region 3: Eastern","SFY 2008-2009","Male","In State","Residential Treatment Center","Number","Children in Placement",26
"Region 3: Eastern","SFY 2008-2009","Male","In State","High Meadows","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Male","In State","Solnit Center","Number","Children in Placement",6
"Region 3: Eastern","SFY 2008-2009","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2008-2009","Male","In State","Independent Living","Number","Children in Placement",13
"Region 3: Eastern","SFY 2008-2009","Male","In State","Total","Number","Children in Placement",456
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Foster Care","Number","Children in Placement",12
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Special Study","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Group Home","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Residential Treatment Center","Number","Children in Placement",35
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Male","Out of State","Total","Number","Children in Placement",59
"Region 3: Eastern","SFY 2008-2009","Total","In State","Foster Care","Number","Children in Placement",340
"Region 3: Eastern","SFY 2008-2009","Total","In State","Relative Foster Care","Number","Children in Placement",130
"Region 3: Eastern","SFY 2008-2009","Total","In State","Special Study","Number","Children in Placement",62
"Region 3: Eastern","SFY 2008-2009","Total","In State","Therapeutic Foster Care","Number","Children in Placement",90
"Region 3: Eastern","SFY 2008-2009","Total","In State","PDC or Safe Home","Number","Children in Placement",31
"Region 3: Eastern","SFY 2008-2009","Total","In State","Shelter","Number","Children in Placement",16
"Region 3: Eastern","SFY 2008-2009","Total","In State","Group Home","Number","Children in Placement",65
"Region 3: Eastern","SFY 2008-2009","Total","In State","Residential Treatment Center","Number","Children in Placement",49
"Region 3: Eastern","SFY 2008-2009","Total","In State","High Meadows","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Total","In State","Solnit Center","Number","Children in Placement",9
"Region 3: Eastern","SFY 2008-2009","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",5
"Region 3: Eastern","SFY 2008-2009","Total","In State","Independent Living","Number","Children in Placement",26
"Region 3: Eastern","SFY 2008-2009","Total","In State","Total","Number","Children in Placement",827
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Foster Care","Number","Children in Placement",16
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Relative Foster Care","Number","Children in Placement",12
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Special Study","Number","Children in Placement",2
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Group Home","Number","Children in Placement",3
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Residential Treatment Center","Number","Children in Placement",52
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2008-2009","Total","Out of State","Total","Number","Children in Placement",89
"Region 3: Eastern","SFY 2009-2010","Female","In State","Foster Care","Number","Children in Placement",158
"Region 3: Eastern","SFY 2009-2010","Female","In State","Relative Foster Care","Number","Children in Placement",62
"Region 3: Eastern","SFY 2009-2010","Female","In State","Special Study","Number","Children in Placement",29
"Region 3: Eastern","SFY 2009-2010","Female","In State","Therapeutic Foster Care","Number","Children in Placement",39
"Region 3: Eastern","SFY 2009-2010","Female","In State","PDC or Safe Home","Number","Children in Placement",6
"Region 3: Eastern","SFY 2009-2010","Female","In State","Shelter","Number","Children in Placement",6
"Region 3: Eastern","SFY 2009-2010","Female","In State","Group Home","Number","Children in Placement",30
"Region 3: Eastern","SFY 2009-2010","Female","In State","Residential Treatment Center","Number","Children in Placement",16
"Region 3: Eastern","SFY 2009-2010","Female","In State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","In State","Solnit Center","Number","Children in Placement",8
"Region 3: Eastern","SFY 2009-2010","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 3: Eastern","SFY 2009-2010","Female","In State","Independent Living","Number","Children in Placement",13
"Region 3: Eastern","SFY 2009-2010","Female","In State","Total","Number","Children in Placement",371
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Foster Care","Number","Children in Placement",2
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Relative Foster Care","Number","Children in Placement",7
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Group Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Residential Treatment Center","Number","Children in Placement",15
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Female","Out of State","Total","Number","Children in Placement",25
"Region 3: Eastern","SFY 2009-2010","Male","In State","Foster Care","Number","Children in Placement",182
"Region 3: Eastern","SFY 2009-2010","Male","In State","Relative Foster Care","Number","Children in Placement",60
"Region 3: Eastern","SFY 2009-2010","Male","In State","Special Study","Number","Children in Placement",35
"Region 3: Eastern","SFY 2009-2010","Male","In State","Therapeutic Foster Care","Number","Children in Placement",64
"Region 3: Eastern","SFY 2009-2010","Male","In State","PDC or Safe Home","Number","Children in Placement",20
"Region 3: Eastern","SFY 2009-2010","Male","In State","Shelter","Number","Children in Placement",12
"Region 3: Eastern","SFY 2009-2010","Male","In State","Group Home","Number","Children in Placement",37
"Region 3: Eastern","SFY 2009-2010","Male","In State","Residential Treatment Center","Number","Children in Placement",30
"Region 3: Eastern","SFY 2009-2010","Male","In State","High Meadows","Number","Children in Placement",3
"Region 3: Eastern","SFY 2009-2010","Male","In State","Solnit Center","Number","Children in Placement",6
"Region 3: Eastern","SFY 2009-2010","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",6
"Region 3: Eastern","SFY 2009-2010","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",6
"Region 3: Eastern","SFY 2009-2010","Male","In State","Independent Living","Number","Children in Placement",5
"Region 3: Eastern","SFY 2009-2010","Male","In State","Total","Number","Children in Placement",466
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Foster Care","Number","Children in Placement",14
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Relative Foster Care","Number","Children in Placement",4
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Special Study","Number","Children in Placement",1
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",2
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Group Home","Number","Children in Placement",1
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Residential Treatment Center","Number","Children in Placement",45
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Male","Out of State","Total","Number","Children in Placement",67
"Region 3: Eastern","SFY 2009-2010","Total","In State","Foster Care","Number","Children in Placement",340
"Region 3: Eastern","SFY 2009-2010","Total","In State","Relative Foster Care","Number","Children in Placement",122
"Region 3: Eastern","SFY 2009-2010","Total","In State","Special Study","Number","Children in Placement",64
"Region 3: Eastern","SFY 2009-2010","Total","In State","Therapeutic Foster Care","Number","Children in Placement",103
"Region 3: Eastern","SFY 2009-2010","Total","In State","PDC or Safe Home","Number","Children in Placement",26
"Region 3: Eastern","SFY 2009-2010","Total","In State","Shelter","Number","Children in Placement",18
"Region 3: Eastern","SFY 2009-2010","Total","In State","Group Home","Number","Children in Placement",67
"Region 3: Eastern","SFY 2009-2010","Total","In State","Residential Treatment Center","Number","Children in Placement",46
"Region 3: Eastern","SFY 2009-2010","Total","In State","High Meadows","Number","Children in Placement",3
"Region 3: Eastern","SFY 2009-2010","Total","In State","Solnit Center","Number","Children in Placement",14
"Region 3: Eastern","SFY 2009-2010","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",6
"Region 3: Eastern","SFY 2009-2010","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",10
"Region 3: Eastern","SFY 2009-2010","Total","In State","Independent Living","Number","Children in Placement",18
"Region 3: Eastern","SFY 2009-2010","Total","In State","Total","Number","Children in Placement",837
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","Foster Care","Number","Children in Placement",16
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","Relative Foster Care","Number","Children in Placement",11
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","Special Study","Number","Children in Placement",1
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 3: Eastern","SFY 2009-2010","Total","Out of State","Group Home","Number","Children in Placement",1
