"Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Region 0","SFY 2009-2010","Male","In State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","In State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Male","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","In State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2009-2010","Total","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","In State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Female","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","In State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Male","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","In State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2010-2011","Total","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Group Home",9,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Residential Treatment Center",13,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","In State","Total",24,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Female","Out of State","Total",2,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Connecticut Juvenile Training School",63,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Foster Care",2,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Group Home",7,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Residential Treatment Center",40,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","In State","Total",113,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Group Home",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Residential Treatment Center",26,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Male","Out of State","Total",27,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Connecticut Juvenile Training School",63,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Foster Care",3,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Group Home",16,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Residential Treatment Center",53,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","In State","Total",137,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Group Home",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Residential Treatment Center",27,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2011-2012","Total","Out of State","Total",29,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Group Home",5,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Residential Treatment Center",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","In State","Total",11,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Female","Out of State","Total",1,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Connecticut Juvenile Training School",11,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Group Home",5,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Residential Treatment Center",21,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Solnit Center",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","In State","Total",41,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Residential Treatment Center",3,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Male","Out of State","Total",3,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Connecticut Juvenile Training School",11,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Foster Care",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Group Home",10,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Relative Foster Care",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Residential Treatment Center",23,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Solnit Center",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","In State","Total",52,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Residential Treatment Center",4,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2012-2013","Total","Out of State","Total",4,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Independent Living",0,"Number","Children in Placement"
